Season,Player,Pos,Squad,Comp,Nation,Age,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Non-Penalty Goals + Assists,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Second Yellow Card,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,xA: Expected Assists,Assists - xAG,npxG + xAG,PrgR,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Non-Penalty Goals - npxG,Pass Attempted,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Passes Blocked,Passes Offside,Passes Completed,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Switches,Crosses,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,% of Dribblers Tackled,Blocks,Shots Blocked,Passes Blocked.1,Interceptions,Clearences,Errors,Touches,Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Take-Ons Attempted,Successful Take-On %,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carries,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Rec,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Best Role
2023-2024,Charlie Taylor,DF,Burnley,eng Premier League,eng ENG,29,28,25,"2,331",25.9,0.04,0.04,0.08,0.04,0.08,0.0,0.0,0.31,0.0,0.0,0.01,0.01,0.05,0.07,-0.01,0.06,3.13,0.39,0.04,10.0,0.1,1.0,25.8,0.0,0.02,0.03,50.7,42.4,7.95,0.54,0.0,01.08,0.27,38.4,75.8,638.4,204.3,20.1,22.8,88.1,14.7,18.8,77.9,2.93,6.53,45.0,0.58,2.66,0.73,0.54,3.17,0.27,2.74,0.0,0.0,0.0,0.0,1.31,1.16,0.0,0.0,0.08,0.04,0.04,0.08,0.04,0.0,0.0,0.04,0.0,0.0,1.35,0.77,0.73,0.54,0.08,1.35,48.6,01.04,0.42,0.62,0.73,03.01,0.0,59.5,19.4,26.2,14.3,0.69,0.66,52.9,35.3,27.9,125.8,1.39,57.8,0.69,0.19,0.69,0.39,33.2,3.13,0.77,0.62,0.08,0.0,0.0,0.0,04.09,1.58,1.47,51.9,Goalkeeper
2023-2024,Elayis Tavsan,"MF,FW",Hellas Verona,it Serie A,nl NED,22,3,0,50,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.0,0.0,0.17,1.67,5.0,1.67,33.3,0.0,0.0,23.9,0.0,0.03,-0.17,13.3,11.7,1.67,0.0,0.0,0.0,0.0,11.7,87.5,238.3,70.0,5.0,5.0,100.0,5.0,5.0,100.0,1.67,3.33,50.0,0.0,0.0,1.67,0.0,3.33,0.0,1.67,1.67,1.67,0.0,0.0,1.67,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,1.67,0.0,23.3,5.0,5.0,13.3,1.67,1.67,100.0,0.0,16.7,136.7,3.33,76.7,1.67,1.67,0.0,0.0,16.7,1.67,1.67,0.0,0.0,0.0,0.0,0.0,3.33,0.0,0.0,0.0,
2023-2024,Marcus Tavernier,FW,Bournemouth,eng Premier League,eng ENG,24,30,25,"2,118",23.5,0.13,0.17,0.3,0.13,0.3,0.0,0.0,0.13,0.0,0.0,0.17,0.17,0.22,0.18,-0.05,0.39,7.28,2.26,0.68,30.2,0.06,0.19,20.0,0.17,0.07,-0.04,39.1,33.6,5.15,01.06,0.13,1.15,0.38,28.0,71.5,455.3,144.3,15.2,17.9,85.0,9.45,12.0,78.7,2.55,06.04,42.3,1.87,1.96,1.49,0.3,3.57,0.34,4.94,2.51,1.91,0.09,0.04,4.3,03.06,0.6,0.21,0.21,0.17,0.04,0.38,0.26,0.09,0.0,0.0,0.04,0.0,2.26,1.45,01.06,0.94,0.26,02.04,54.2,1.32,0.13,1.19,0.21,0.98,0.0,53.0,7.74,17.2,29.2,4.0,4.51,41.5,51.9,29.5,212.6,3.36,102.6,3.49,01.06,2.26,1.74,32.6,7.28,0.85,0.94,0.13,0.0,0.0,0.0,06.04,0.55,1.32,29.5,Inverted Winger
2023-2024,Nuno Tavares,DF,Nott'ham Forest,eng Premier League,pt POR,23,8,5,457,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.04,0.04,0.1,0.08,-0.1,0.14,2.35,1.37,0.2,14.3,0.0,0.0,26.1,0.0,0.02,-0.04,53.7,44.1,9.41,1.57,0.0,1.37,0.2,39.4,73.4,579.2,222.0,22.9,26.7,86.0,13.5,18.8,71.9,2.16,5.49,39.3,0.39,2.75,0.39,0.0,4.71,0.78,3.14,0.2,0.0,0.2,0.0,1.76,1.57,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16,1.37,1.76,0.2,0.2,1.76,88.9,1.18,0.0,1.18,0.2,4.12,0.0,67.3,23.1,24.1,21.4,1.18,1.76,66.7,33.3,32.5,184.3,2.75,110.6,2.35,0.39,1.96,0.78,36.5,2.35,1.57,0.39,0.0,0.0,0.0,0.0,6.47,0.59,0.39,60.0,Wing-Back
2023-2024,Jimi Tauriainen,FW,Chelsea,eng Premier League,eng ENG,19,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shadow Striker
2023-2024,César Tárrega,DF,Valencia,es La Liga,es ESP,21,1,0,8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,50.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,900.0,220.0,10.0,10.0,100.0,40.0,40.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,70.0,60.0,10.0,0.0,0.0,0.0,0.0,0.0,30.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Central Defender
2023-2024,James Tarkowski,DF,Everton,eng Premier League,eng ENG,30,38,38,"3,419",38.0,0.03,0.03,0.05,0.03,0.05,0.0,0.0,0.29,0.0,0.0,0.07,0.07,0.07,0.07,-0.04,0.13,0.53,0.66,0.11,16.0,0.04,0.25,9.9,0.0,0.1,-0.04,40.8,39.1,1.37,1.18,0.03,0.26,0.34,31.4,77.1,663.7,277.0,10.4,12.5,83.5,15.5,18.0,86.1,5.16,8.82,58.5,0.58,3.34,0.61,0.08,3.42,0.58,0.16,0.0,0.0,0.0,0.0,1.16,1.0,0.0,0.03,0.11,0.0,0.03,0.08,0.08,0.0,0.0,0.0,0.0,0.0,1.61,1.11,1.21,0.37,0.03,1.26,56.3,2.16,1.47,0.68,1.47,05.03,0.05,53.0,26.3,22.3,4.71,2.21,0.53,80.0,20.0,24.2,131.8,0.39,80.9,0.32,0.0,0.42,0.42,28.3,0.53,1.18,0.66,0.03,0.0,0.03,0.0,4.89,3.68,1.61,69.7,Ball Playing Defender
2023-2024,Oussama Targhalline,MF,Le Havre,fr Ligue 1,ma MAR,21,14,12,"1,025",11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.09,0.09,0.02,0.02,0.04,0.04,-0.04,0.05,1.32,0.53,0.0,0.0,0.0,0.0,28.4,0.0,0.03,-0.02,61.8,60.4,1.14,0.79,0.18,1.32,0.18,52.6,85.2,841.3,270.3,26.4,29.6,89.3,20.1,22.5,89.1,3.95,5.88,67.2,0.7,5.88,0.88,0.26,6.14,0.18,0.7,0.09,0.0,0.0,0.0,2.11,1.58,0.0,0.0,0.0,0.26,0.26,0.18,0.18,0.0,0.0,0.0,0.0,0.0,02.02,0.96,1.4,0.61,0.0,2.19,60.0,0.79,0.26,0.53,1.75,1.23,0.18,71.3,17.3,43.6,11.8,0.26,1.4,43.8,43.8,55.3,348.7,2.37,157.4,2.81,0.0,0.61,0.44,51.8,1.32,1.14,1.84,0.0,0.0,0.0,0.0,5.96,0.61,1.14,35.0,Deep Lying Playmaker
2023-2024,Matt Targett,DF,Newcastle Utd,eng Premier League,eng ENG,27,3,1,78,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,45.6,42.2,3.33,0.0,0.0,1.11,0.0,40.0,87.8,730.0,208.9,14.4,14.4,100.0,18.9,20.0,94.4,6.67,10.0,66.7,1.11,2.22,0.0,0.0,2.22,0.0,0.0,0.0,0.0,0.0,0.0,4.44,4.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22,0.0,1.11,1.11,0.0,1.11,100.0,1.11,0.0,1.11,0.0,2.22,0.0,56.7,24.4,27.8,5.56,0.0,2.22,0.0,50.0,37.8,170.0,1.11,101.1,1.11,0.0,0.0,0.0,36.7,0.0,0.0,2.22,0.0,0.0,0.0,0.0,5.56,0.0,3.33,0.0,
2023-2024,Edmond Tapsoba,DF,Leverkusen,de Bundesliga,bf BFA,24,28,23,"2,087",23.2,0.0,0.04,0.04,0.0,0.04,0.0,0.0,0.17,0.0,0.0,0.04,0.04,0.04,0.06,0.0,0.09,0.52,0.52,0.04,8.3,0.0,0.0,16.3,0.0,0.08,-0.04,85.0,81.7,3.1,1.72,0.22,0.43,0.22,77.4,91.0,1274.9,539.9,37.8,40.1,94.4,32.7,35.0,93.2,05.09,7.2,70.7,0.39,8.32,0.34,0.0,07.07,0.47,0.22,0.0,0.0,0.0,0.0,1.64,1.55,0.04,0.0,0.0,0.04,0.0,0.26,0.26,0.0,0.0,0.0,0.0,0.0,1.47,01.08,0.73,0.65,0.09,01.03,70.8,0.91,0.43,0.47,01.03,2.24,0.13,92.9,30.6,55.6,7.63,0.99,0.73,76.5,17.6,64.4,385.6,2.11,227.2,1.94,0.04,0.56,0.3,68.9,0.52,01.08,0.17,0.04,0.0,0.0,0.0,7.54,1.72,1.64,51.3,Ball Playing Defender
2023-2024,Renato Tapia,"MF,DF",Celta Vigo,es La Liga,pe PER,28,21,15,"1,337",14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.07,0.07,0.07,0.07,0.04,0.05,-0.04,0.11,0.94,1.28,0.07,5.3,0.0,0.0,20.8,0.13,0.05,-0.07,48.0,44.8,2.95,2.55,0.13,01.01,0.27,36.3,75.7,665.0,261.8,16.7,19.0,88.0,13.4,16.6,81.0,5.17,9.46,54.6,0.47,4.3,0.74,0.13,04.09,0.67,0.6,0.0,0.0,0.0,0.0,1.81,1.48,0.0,0.07,0.13,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,1.95,1.28,1.28,0.2,1.68,56.0,02.08,0.47,1.61,1.41,3.36,0.07,63.7,21.3,33.8,9.4,0.87,2.62,69.2,23.1,32.0,157.2,0.6,70.9,0.87,0.0,1.34,0.67,35.5,0.94,1.61,1.81,0.07,0.0,0.0,0.0,7.52,2.89,2.21,56.6,Central Defender
2023-2024,Adrien Tameze,"DF,MF",Torino,it Serie A,cm CMR,29,29,25,"2,146",23.8,0.0,0.08,0.08,0.0,0.08,0.0,0.0,0.25,0.0,0.04,0.03,0.03,0.09,0.05,-0.01,0.12,1.64,0.38,0.0,0.0,0.0,0.0,13.0,0.0,0.08,-0.03,53.6,51.2,2.35,1.64,0.04,0.97,0.08,46.5,86.7,795.7,229.7,19.4,21.3,91.3,23.1,25.4,90.7,2.86,4.24,67.3,0.8,3.4,0.42,0.13,3.78,0.21,0.63,0.0,0.0,0.0,0.0,1.34,1.22,0.0,0.0,0.04,0.0,0.08,0.17,0.08,0.0,0.0,0.0,0.0,0.08,1.47,0.67,0.55,0.76,0.17,1.55,48.6,01.01,0.46,0.55,1.97,01.05,0.08,62.7,22.5,32.6,8.24,0.88,0.8,63.2,26.3,36.4,171.3,0.92,76.4,01.05,0.08,0.84,0.71,41.2,1.64,0.8,0.63,0.0,0.0,0.04,0.0,5.88,1.26,1.64,43.5,Ball Winning Midfielder
2023-2024,Yassin Tallal,FW,Getafe,es La Liga,es ESP,18,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,18.0,1.0,11.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,
2023-2024,Montassar Talbi,DF,Lorient,fr Ligue 1,tn TUN,25,25,25,"2,204",24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.02,0.02,0.01,0.02,-0.01,0.03,0.29,0.2,0.08,40.0,0.0,0.0,16.6,0.0,0.11,-0.02,48.5,46.8,1.43,0.9,0.0,0.24,0.24,41.1,84.8,770.0,317.3,13.6,14.9,91.0,23.5,25.3,92.9,3.43,7.1,48.3,0.29,3.14,0.29,0.0,3.59,0.2,0.12,0.0,0.0,0.0,0.0,0.65,0.61,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.9,0.94,0.53,0.08,1.31,59.4,1.59,0.94,0.65,1.31,4.65,0.0,59.3,31.0,26.7,2.12,0.49,0.61,66.7,33.3,42.2,275.8,0.61,155.8,0.49,0.0,0.94,0.16,38.2,0.29,0.73,0.33,0.04,0.0,0.0,0.0,4.73,02.08,1.51,58.0,Ball Playing Defender
2023-2024,Jonathan Tah,DF,Leverkusen,de Bundesliga,de GER,27,31,30,"2,631",29.2,0.14,0.03,0.17,0.14,0.17,0.0,0.0,0.21,0.0,0.0,0.07,0.07,0.01,0.03,0.02,0.08,0.14,0.89,0.34,38.5,0.15,0.4,13.1,0.0,0.08,0.07,75.1,73.8,1.13,0.89,0.03,0.21,0.14,70.9,94.4,1130.1,467.1,35.8,36.9,97.0,31.1,32.9,94.4,03.05,3.77,80.9,0.17,5.62,0.03,0.0,4.55,0.24,0.1,0.0,0.0,0.0,0.0,0.65,0.51,0.0,0.0,0.1,0.0,0.03,0.14,0.1,0.0,0.0,0.03,0.0,0.0,0.65,0.31,0.34,0.24,0.07,0.55,31.3,0.96,0.79,0.17,0.79,3.32,0.03,83.4,27.1,52.0,4.79,1.16,0.31,55.6,44.4,53.3,276.4,0.58,156.4,0.89,0.03,0.38,0.17,62.1,0.14,1.13,0.14,0.03,0.0,0.0,0.0,5.51,2.12,0.75,73.8,Ball Playing Defender
2023-2024,Nicolás Tagliafico,DF,Lyon,fr Ligue 1,ar ARG,30,25,25,"2,123",23.6,0.13,0.04,0.17,0.13,0.17,0.0,0.0,0.3,0.04,0.04,0.11,0.11,0.04,0.07,0.0,0.15,05.04,0.64,0.25,40.0,0.2,0.5,13.7,0.0,0.17,0.02,49.8,43.1,6.48,0.64,0.13,0.89,0.21,42.3,85.0,650.0,224.5,21.7,23.9,90.8,16.9,19.3,87.5,2.2,3.69,59.8,0.76,3.47,0.85,0.21,4.45,0.0,1.69,0.04,0.0,0.0,0.0,1.78,1.19,0.25,0.04,0.13,0.13,0.04,0.08,0.04,0.0,0.0,0.0,0.04,0.0,2.29,1.44,0.97,0.93,0.38,02.08,44.9,01.06,0.34,0.72,1.19,1.82,0.0,58.7,15.04,29.2,14.4,1.48,0.68,31.3,62.5,40.4,202.5,1.36,85.6,1.14,0.17,0.55,0.51,38.0,05.04,1.57,1.36,0.0,0.04,0.0,0.0,3.22,0.85,0.64,57.1,Wing-Back
2023-2024,Musa Al-Taamari,FW,Montpellier,fr Ligue 1,jo JOR,26,27,24,"1,928",21.4,0.23,0.09,0.33,0.23,0.33,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.16,0.09,-0.07,0.33,7.85,2.15,0.89,41.3,0.11,0.26,17.8,0.0,0.08,0.07,25.8,24.1,1.64,0.33,0.19,1.59,0.14,18.8,72.7,256.6,67.5,10.9,13.6,80.3,5.56,7.38,75.3,0.75,1.21,61.5,0.93,0.98,1.31,0.0,2.52,0.14,01.03,0.14,0.05,0.0,0.0,3.27,1.59,0.09,0.56,0.28,0.65,0.09,0.37,0.14,0.0,0.14,0.0,0.09,0.0,0.93,0.75,0.47,0.23,0.23,0.98,42.9,0.84,0.09,0.75,0.19,0.23,0.0,39.4,4.44,15.5,20.7,4.3,5.37,38.3,53.0,30.0,235.8,3.79,105.7,2.76,2.15,3.74,1.5,28.2,7.85,0.51,2.38,0.37,0.09,0.0,0.0,4.72,0.47,0.89,34.5,
2023-2024,Alexander Sørloth,FW,Villarreal,es La Liga,no NOR,27,34,30,"2,489",27.7,0.83,0.22,01.05,0.83,01.05,0.0,0.0,0.11,0.0,0.0,0.44,0.44,0.16,0.11,0.06,0.6,5.74,2.82,1.3,46.2,0.29,0.64,12.1,0.0,0.16,0.39,17.2,16.2,0.79,0.0,0.07,0.54,0.22,12.9,75.0,174.3,24.0,8.23,9.78,84.1,3.86,5.13,75.4,0.4,0.72,55.0,1.23,0.69,0.54,0.04,1.44,0.0,0.25,0.0,0.0,0.0,0.0,2.45,1.84,0.0,0.22,0.29,0.07,0.04,0.61,0.29,0.0,0.07,0.18,0.07,0.0,0.22,0.11,0.04,0.07,0.11,0.22,33.3,0.32,0.14,0.18,0.0,0.94,0.0,28.8,2.2,11.8,15.1,5.42,2.6,41.7,55.6,17.1,118.8,1.73,39.9,1.26,01.05,3.5,2.2,23.0,5.74,1.23,0.69,0.83,0.04,0.0,0.0,02.06,2.89,1.62,64.0,Target Forward
2023-2024,Przemysław Szymiński,MF,Frosinone,it Serie A,pl POL,29,1,0,9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,20.0,20.0,0.0,0.0,0.0,0.0,0.0,10.0,50.0,90.0,100.0,10.0,10.0,100.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,Wide Centre-Back
2023-2024,Dominik Szoboszlai,MF,Liverpool,eng Premier League,hu HUN,22,33,25,"2,104",23.4,0.13,0.09,0.21,0.13,0.21,0.0,0.0,0.04,0.0,0.0,0.16,0.16,0.25,0.22,-0.16,0.41,6.84,2.56,0.64,25.0,0.05,0.2,24.3,0.3,0.06,-0.03,66.2,58.8,7.14,1.45,0.13,01.03,0.3,54.7,82.6,870.4,210.6,29.7,33.2,89.3,18.8,21.7,87.0,4.19,7.22,58.0,2.39,4.19,1.41,0.26,6.5,0.68,4.83,2.82,01.03,1.2,0.09,4.91,3.59,0.9,0.17,0.13,0.13,0.0,0.3,0.21,0.0,0.0,0.04,0.04,0.0,1.37,0.81,0.51,0.51,0.34,2.14,32.0,1.58,0.09,1.5,0.64,0.68,0.04,77.0,10.2,37.1,30.7,03.03,2.39,42.9,48.2,44.6,234.0,3.21,123.1,2.86,0.94,1.15,1.15,52.9,6.84,1.24,1.24,0.13,0.09,0.0,0.0,7.31,0.51,0.85,37.5,Inverted Winger
2023-2024,Wojciech Szczęsny,GK,Juventus,it Serie A,pl POL,33,35,35,"3,15",35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,28.7,22.0,6.6,1.63,0.0,0.0,0.11,22.3,77.5,631.4,438.8,3.46,3.49,99.2,11.1,11.3,98.7,7.71,13.9,55.6,0.03,0.31,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.31,0.06,30.6,30.3,0.23,0.0,0.0,0.03,100.0,0.0,18.9,125.9,0.0,83.1,0.0,0.0,0.03,0.0,15.6,0.0,0.03,0.06,0.0,0.0,0.03,0.0,01.09,0.09,0.03,75.0,Sweeper Keeper
2023-2024,Attila Szalai,DF,Freiburg,de Bundesliga,hu HUN,25,3,0,103,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.18,-0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,65.5,61.8,2.73,0.0,0.91,0.0,0.91,52.7,80.6,967.3,527.3,18.2,20.9,87.0,30.0,35.5,84.6,3.64,7.27,50.0,0.91,1.82,0.91,0.0,4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.91,0.91,0.0,0.0,1.82,50.0,4.55,1.82,2.73,0.91,10.0,0.91,83.6,48.2,32.7,2.73,0.91,0.0,0.0,0.0,50.0,208.2,0.91,124.5,0.91,0.91,0.0,1.82,52.7,0.0,0.0,0.0,0.91,0.0,0.0,0.0,3.64,1.82,1.82,50.0,Ball Winning Midfielder
2023-2024,Attila Szalai,DF,Hoffenheim,de Bundesliga,hu HUN,25,4,4,288,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.16,0.25,-0.16,0.16,0.94,0.31,0.31,100.0,0.0,0.0,39.5,0.0,0.01,0.00,55.6,53.4,1.88,0.31,0.63,0.63,0.31,40.9,73.6,702.8,349.7,16.6,19.4,85.5,19.7,24.1,81.8,3.13,9.38,33.3,0.63,3.13,0.63,0.31,04.06,0.94,1.56,0.0,0.0,0.0,0.0,1.88,1.56,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.31,0.94,0.0,0.0,1.25,25.0,1.88,0.63,1.25,0.31,2.19,0.0,63.1,25.9,31.3,5.94,0.0,0.31,0.0,100.0,38.4,124.1,0.63,68.1,0.63,0.0,0.31,0.0,42.2,0.94,2.19,0.0,0.0,0.0,0.0,0.31,3.44,1.56,1.56,50.0,Ball Winning Midfielder
2023-2024,Mamadou Sylla,"FW,MF",Alavés,es La Liga,sn SEN,29,2,0,18,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,35.0,30.0,5.0,0.0,0.0,0.0,0.0,15.0,42.9,320.0,30.0,5.0,20.0,25.0,5.0,5.0,100.0,5.0,5.0,100.0,0.0,10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,0.0,65.0,15.0,30.0,20.0,0.0,5.0,0.0,100.0,30.0,125.0,0.0,50.0,0.0,0.0,5.0,5.0,40.0,5.0,5.0,10.0,0.0,0.0,0.0,0.0,5.0,15.0,15.0,50.0,Winger
2023-2024,Issiaga Sylla,"DF,FW",Montpellier,fr Ligue 1,gn GUI,29,19,17,"1,455",16.2,0.06,0.12,0.19,0.06,0.19,0.0,0.0,0.19,0.0,0.0,0.09,0.09,0.1,0.06,0.02,0.19,3.15,0.8,0.31,38.5,0.08,0.2,14.6,0.0,0.11,-0.02,44.4,34.8,9.26,0.62,0.0,1.48,0.31,32.6,73.4,558.7,246.0,14.9,18.5,80.7,13.5,16.7,80.4,3.15,6.67,47.2,0.99,2.1,0.62,0.43,2.65,0.12,2.65,0.0,0.0,0.0,0.0,1.91,1.36,0.31,0.06,0.12,0.0,0.06,0.12,0.12,0.0,0.0,0.0,0.0,0.0,1.73,01.05,1.23,0.37,0.12,2.1,47.1,1.3,0.43,0.86,1.42,3.27,0.0,55.5,17.8,25.3,13.1,1.85,1.17,52.6,47.4,32.8,192.3,1.79,96.4,1.3,0.12,1.85,0.86,27.9,3.15,1.3,0.62,0.19,0.0,0.0,0.0,5.56,1.11,0.93,54.5,Wing-Back
