Season,Player,Pos,Squad,Comp,Nation,Age,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Non-Penalty Goals + Assists,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Second Yellow Card,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,xA: Expected Assists,Assists - xAG,npxG + xAG,PrgR,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Non-Penalty Goals - npxG,Pass Attempted,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Passes Blocked,Passes Offside,Passes Completed,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Switches,Crosses,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,% of Dribblers Tackled,Blocks,Shots Blocked,Passes Blocked.1,Interceptions,Clearences,Errors,Touches,Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Take-Ons Attempted,Successful Take-On %,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carries,Progressive Carrying Distance, Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Rec,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Best Role
2022-2023,Grigoris Kastanos,"MF,DF",Salernitana,it Serie A,cy CYP,24,28,13,"1,286",14.3,0.14,0.07,0.21,0.14,0.21,0.0,0.0,0.28,0.0,0.0,0.13,0.13,0.04,0.06,0.03,0.17,4.13,2.1,0.63,30.0,0.07,0.22,22.2,0.0,0.06,0.01,43.4,36.7,6.29,1.89,0.07,1.61,0.42,32.2,74.1,478.3,176.8,17.7,19.7,90.0,9.9,12.7,71.8,2.59,5.38,48.1,0.91,3.29,0.77,0.21,3.99,0.42,1.82,1.12,0.21,0.0,0.0,2.52,1.75,0.49,0.07,0.07,0.14,0.0,0.35,0.07,0.14,0.0,0.07,0.07,0.0,2.73,1.61,1.26,1.33,0.14,2.8,40.0,1.4,0.42,0.98,0.56,0.56,0.0,53.8,11.0,25.5,18.0,1.75,2.38,38.2,41.2,32.0,157.8,1.89,77.7,1.33,0.21,1.12,1.33,35.5,4.13,1.54,2.94,0.0,0.0,0.0,0.0,4.9,1.61,1.68,48.9,Mezzala
2023-2024,Ezri Konsa,DF,Aston Villa,eng Premier League,eng ENG,25,35,35,"3,069",34.1,0.03,0.0,0.03,0.03,0.03,0.0,0.0,0.15,0.0,0.0,0.07,0.07,0.01,0.03,-0.01,0.09,0.97,0.56,0.15,26.3,0.05,0.2,12.2,0.0,0.13,-0.04,61.4,55.6,5.78,2.08,0.03,0.7,0.03,55.9,91.1,936.9,313.0,24.3,25.7,94.2,28.1,30.2,93.2,2.79,3.78,73.6,0.23,3.87,0.41,0.06,3.99,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.73,0.03,0.06,0.06,0.09,0.03,0.18,0.09,0.03,0.0,0.0,0.03,0.03,1.58,0.94,0.82,0.67,0.09,0.79,85.2,1.06,0.59,0.47,0.82,2.14,0.09,69.2,28.5,33.6,7.57,1.06,1.0,55.9,17.6,45.0,203.2,1.09,108.5,0.59,0.09,0.76,0.5,48.9,0.97,0.41,1.88,0.0,0.03,0.03,0.0,4.16,0.88,0.41,68.2,Ball Playing Defender
2022-2023,Thomas Kastanaras,"FW,DF",Stuttgart,de Bundesliga,gr GRE,19,4,1,72,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.37,0.13,0.0,-0.13,0.37,7.5,2.5,1.25,50.0,0.0,0.0,13.7,0.0,0.13,-0.37,21.3,18.8,2.5,0.0,0.0,2.5,0.0,17.5,82.4,218.8,47.5,10.0,11.3,88.9,3.75,3.75,100.0,1.25,1.25,100.0,1.25,2.5,1.25,1.25,2.5,0.0,1.25,0.0,0.0,0.0,0.0,2.5,1.25,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,1.25,0.0,0.0,0.0,36.3,6.25,16.3,13.8,3.75,1.25,0.0,100.0,18.8,56.3,1.25,28.8,0.0,0.0,6.25,0.0,21.3,7.5,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,2.5,0.0,Poacher
2023-2024,Manu Koné,MF,Gladbach,de Bundesliga,fr FRA,22,22,18,"1,561",17.3,0.06,0.0,0.06,0.06,0.06,0.0,0.0,0.23,0.0,0.06,0.07,0.07,0.07,0.05,-0.07,0.14,3.24,1.39,0.46,33.3,0.04,0.13,19.3,0.0,0.05,-0.01,39.8,39.1,0.58,0.52,0.0,0.87,0.12,33.7,84.7,505.6,128.2,19.1,21.3,89.7,11.5,13.0,88.4,1.79,2.54,70.5,1.39,2.6,0.69,0.0,4.05,0.12,0.17,0.0,0.0,0.0,0.0,3.41,2.43,0.0,0.4,0.35,0.23,0.0,0.17,0.0,0.0,0.0,0.12,0.06,0.0,2.6,1.5,1.16,1.16,0.29,1.45,68.0,1.27,0.06,1.21,0.87,0.92,0.06,53.5,10.5,30.3,13.8,1.79,3.99,53.6,37.7,33.5,194.7,2.43,102.0,1.91,0.35,2.37,2.37,37.2,3.24,1.62,2.02,0.17,0.06,0.06,0.0,6.42,1.21,1.39,46.7,Ball Winning Midfielder
2022-2023,Denso Kasius,DF,Bologna,it Serie A,nl NED,19,7,4,342,3.8,0.0,0.53,0.53,0.0,0.53,0.0,0.0,0.26,0.0,0.0,0.03,0.03,0.18,0.21,0.34,0.21,5.53,1.05,0.0,0.0,0.0,0.0,23.9,0.0,0.03,-0.03,50.5,41.1,9.21,0.26,0.0,0.79,0.26,37.6,74.5,677.9,227.4,17.1,18.9,90.3,13.9,19.5,71.6,5.26,9.47,55.6,1.58,1.58,2.11,1.58,2.37,0.79,3.16,0.0,0.0,0.0,0.0,3.95,3.42,0.0,0.53,0.0,0.0,0.0,0.53,0.53,0.0,0.0,0.0,0.0,0.0,3.16,1.58,1.84,1.05,0.26,2.63,80.0,1.58,0.79,0.79,0.79,1.58,0.0,63.9,19.7,27.06,17.1,0.79,2.63,60.0,30.0,33.4,191.6,2.37,98.4,2.63,0.26,2.89,1.84,37.9,5.53,0.79,0.26,0.0,0.0,0.0,0.0,4.74,0.26,1.05,20.0,Winger
2023-2024,Ibrahima Koné,FW,Lorient,fr Ligue 1,ml MLI,24,1,0,32,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,7.5,7.5,0.0,0.0,0.0,0.0,0.0,5.0,66.7,40.0,17.5,5.0,7.5,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,17.5,0.0,0.0,0.0,0.0,0.0,12.5,82.5,0.0,42.5,0.0,0.0,5.0,2.5,17.5,2.5,0.0,2.5,0.0,0.0,0.0,0.0,2.5,7.5,2.5,75.0,Pressing Forward
2022-2023,Rick Karsdorp,DF,Roma,it Serie A,nl NED,27,13,8,711,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.15,0.14,-0.15,0.19,4.18,0.25,0.0,0.0,0.0,0.0,19.4,0.0,0.14,-0.04,48.1,38.7,9.24,0.51,0.38,1.01,0.13,37.3,77.6,646.7,203.9,17.0,19.4,87.6,16.6,19.6,84.5,3.42,6.71,50.9,0.76,1.65,1.39,0.13,3.04,0.13,1.77,0.0,0.0,0.0,0.0,2.03,1.65,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.66,1.65,1.39,0.89,0.38,2.78,59.1,0.0,0.0,0.0,0.89,1.9,0.13,56.2,19.7,23.4,13.9,1.14,0.76,0.0,83.3,29.9,145.3,2.03,72.8,1.01,0.25,1.39,0.76,32.9,4.18,0.51,0.0,0.13,0.0,0.0,0.0,5.7,0.63,0.25,71.4,Full-Back
2023-2024,Ibrahima Koné,FW,Almería,es La Liga,ml MLI,24,9,2,277,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.03,0.16,-0.03,0.16,5.81,1.29,0.65,50.0,0.0,0.0,12.9,0.0,0.11,-0.13,18.1,15.8,2.26,0.0,0.0,0.0,0.0,12.3,67.9,171.9,45.5,7.1,9.68,73.3,4.19,5.81,72.2,0.65,0.97,66.7,0.65,0.0,0.0,0.0,0.97,0.0,0.65,0.0,0.0,0.0,0.0,1.61,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.32,0.0,0.0,0.32,100.0,0.32,0.0,0.32,0.0,1.29,0.0,26.8,2.26,13.2,11.9,3.23,1.29,25.0,50.0,14.2,67.1,1.61,36.1,0.32,1.29,2.26,0.32,18.7,5.81,0.97,1.29,1.94,0.0,0.0,0.0,2.26,2.9,3.23,47.4,Pressing Forward
2022-2023,Jon Karrikaburu,FW,Real Sociedad,es La Liga,es ESP,19,6,0,93,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.3,0.3,0.1,-0.3,0.6,2.0,5.0,1.0,20.0,0.0,0.0,20.1,0.0,0.06,-0.30,18.0,18.0,0.0,0.0,1.0,0.0,0.0,11.0,61.1,164.0,66.0,5.0,7.0,71.4,2.0,4.0,50.0,2.0,3.0,66.7,1.0,2.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,38.0,0.0,18.0,20.0,3.0,0.0,0.0,0.0,22.0,127.0,2.0,38.0,1.0,1.0,4.0,3.0,28.0,2.0,3.0,4.0,3.0,0.0,0.0,0.0,5.0,4.0,4.0,50.0,Advanced Forward
2023-2024,Amadou Koné,MF,Reims,fr Ligue 1,ml MLI,18,16,4,475,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.19,0.19,0.06,0.06,0.04,0.02,-0.04,0.08,0.38,1.13,0.19,16.7,0.0,0.0,27.3,0.0,0.05,-0.06,48.3,47.4,0.57,0.57,0.0,0.94,0.38,38.5,79.7,714.5,193.8,13.6,17.9,75.8,18.7,21.3,87.6,4.34,5.28,82.1,0.57,3.58,0.19,0.0,5.28,0.38,0.19,0.0,0.0,0.0,0.0,1.13,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.45,1.51,2.08,0.38,0.0,1.89,60.0,1.51,0.57,0.94,1.89,1.89,0.0,60.8,18.3,37.5,6.04,0.38,0.57,66.7,33.3,42.3,228.9,0.38,83.6,0.94,0.0,1.7,0.75,37.2,0.38,1.32,3.96,0.0,0.0,0.0,0.0,7.92,2.26,2.26,50.0,
2022-2023,Ayman Kari,"MF,DF",Lorient,fr Ligue 1,fr FRA,17,5,0,96,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.45,0.0,0.09,0.0,0.55,2.73,3.64,0.0,0.0,0.0,0.0,18.6,0.0,0.14,-0.45,67.3,66.4,0.0,0.0,0.0,0.91,0.91,60.9,90.5,853.6,174.5,34.5,36.4,95.0,18.2,20.0,90.9,3.64,3.64,100.0,0.91,1.82,1.82,0.0,6.36,0.0,0.0,0.0,0.0,0.0,0.0,6.36,4.55,0.0,0.91,0.0,0.91,0.0,0.91,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.64,0.0,3.64,2.73,0.0,0.0,85.5,29.1,34.5,24.5,5.45,6.36,57.1,28.6,63.6,364.5,4.55,195.5,3.64,0.91,2.73,0.91,58.2,2.73,0.91,4.55,0.91,0.0,0.0,0.0,10.9,0.91,0.91,50.0,Mezzala
2023-2024,Abdoul Koné,DF,Reims,fr Ligue 1,fr FRA,18,3,3,193,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.33,0.0,-0.33,0.33,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,40.5,31.0,9.52,1.43,0.0,1.43,0.0,25.2,62.4,495.7,191.0,9.05,11.4,79.2,12.4,20.0,61.9,3.81,8.1,47.1,0.95,2.86,0.48,0.0,2.38,0.48,0.48,0.0,0.0,0.0,0.0,0.95,0.48,0.0,0.0,0.0,0.48,0.0,0.95,0.48,0.0,0.0,0.0,0.48,0.0,3.33,3.33,2.38,0.95,0.0,5.24,36.4,0.95,0.0,0.95,0.95,4.29,0.0,54.8,26.2,25.7,4.29,0.48,1.43,66.7,33.3,31.0,171.0,1.43,55.2,0.48,0.48,1.9,0.0,24.8,0.48,0.95,1.9,0.0,0.48,0.0,0.0,6.67,0.0,0.48,0.0,Winger
2022-2023,Atakan Karazor,MF,Stuttgart,de Bundesliga,0,25,29,22,"1,962",21.8,0.0,0.05,0.05,0.0,0.05,0.0,0.0,0.46,0.0,0.0,0.01,0.01,0.03,0.06,0.02,0.04,0.55,0.28,0.0,0.0,0.0,0.0,20.9,0.0,0.05,-0.01,51.2,49.1,1.93,1.83,0.09,0.5,0.18,43.3,84.7,755.7,201.5,18.7,21.5,87.0,20.4,22.8,89.2,3.44,4.82,71.4,0.64,3.35,0.32,0.0,3.62,0.41,0.0,0.0,0.0,0.0,0.0,1.15,0.96,0.05,0.0,0.05,0.05,0.05,0.14,0.14,0.0,0.0,0.0,0.0,0.0,2.25,1.38,0.83,1.15,0.28,2.16,51.1,1.79,0.5,1.28,1.42,2.02,0.0,61.9,19.0,36.8,6.74,0.32,1.06,60.9,21.7,27.4,103.3,0.23,40.7,0.46,0.0,0.92,0.78,35.9,0.55,1.1,1.42,0.0,0.0,0.0,0.0,7.94,2.25,1.51,59.8,Deep Lying Playmaker
2023-2024,Geoffrey Kondogbia,MF,Marseille,fr Ligue 1,cf CTA,30,26,15,"1,463",16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.02,0.02,0.03,0.06,-0.03,0.06,1.53,0.49,0.06,12.5,0.0,0.0,18.4,0.0,0.05,-0.02,58.4,57.4,0.67,0.55,0.12,0.43,0.37,51.0,87.4,901.3,275.3,22.0,23.9,92.3,23.3,25.3,91.8,4.42,6.63,66.7,0.67,6.44,0.67,0.06,5.71,0.61,0.12,0.06,0.0,0.0,0.0,1.66,1.29,0.0,0.0,0.06,0.25,0.06,0.18,0.18,0.0,0.0,0.0,0.0,0.0,2.94,1.9,1.1,1.53,0.31,1.96,40.6,1.29,0.25,1.04,1.84,1.53,0.0,68.7,14.0,45.6,9.39,0.8,0.8,69.2,15.4,52.7,243.9,0.43,94.7,0.8,0.0,1.23,0.86,48.6,1.53,1.53,1.78,0.12,0.0,0.0,0.0,6.99,1.04,0.43,70.8,Ball Winning Midfielder
2022-2023,Yann Karamoh,"MF,FW",Torino,it Serie A,fr FRA,24,21,7,716,8.0,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.25,0.0,0.0,0.41,0.41,0.09,0.05,-0.09,0.5,9.25,2.5,1.5,60.0,0.2,0.33,15.5,0.0,0.16,0.09,27.0,26.0,0.88,0.13,0.25,1.63,0.13,20.4,75.5,298.1,50.9,12.3,14.0,87.5,6.88,8.63,79.7,0.75,1.63,46.2,1.38,0.63,0.63,0.38,1.5,0.38,1.88,0.0,0.0,0.0,0.0,2.75,2.13,0.0,0.38,0.13,0.13,0.0,0.38,0.13,0.0,0.25,0.0,0.0,0.0,0.63,0.25,0.38,0.25,0.0,0.63,20.0,0.63,0.0,0.63,0.0,0.25,0.13,43.4,2.75,17.4,24.0,4.38,7.13,45.6,43.9,27.6,186.6,3.38,80.8,1.25,1.38,4.13,1.63,32.1,9.25,1.38,1.63,1.5,0.0,0.0,0.0,3.63,0.88,3.0,22.6,Winger
2023-2024,Ibrahima Konaté,DF,Liverpool,eng Premier League,fr FRA,24,22,17,"1,574",17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.06,0.06,0.04,0.04,0.02,0.03,-0.02,0.06,0.17,0.63,0.11,18.2,0.0,0.0,11.6,0.0,0.06,-0.04,83.6,81.5,2.0,1.37,0.29,0.46,0.11,73.5,87.9,1299.0,516.7,29.4,32.3,90.8,38.5,41.0,93.7,4.63,8.0,57.9,0.46,8.29,0.46,0.0,6.74,0.34,0.06,0.0,0.0,0.0,0.0,1.37,1.37,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,2.06,1.26,1.26,0.74,0.06,1.37,75.0,1.03,0.69,0.34,1.14,2.91,0.06,92.7,30.5,58.2,4.57,0.91,0.57,60.0,10.0,61.8,328.4,1.37,205.1,0.97,0.0,0.46,0.29,66.4,0.17,1.43,0.74,0.0,0.0,0.0,0.0,5.54,4.4,1.77,71.3,Ball Playing Defender
2022-2023,Kenan Karaman,FW,Schalke 04,de Bundesliga,tr TUR,28,21,10,976,10.8,0.09,0.19,0.28,0.09,0.28,0.0,0.0,0.19,0.0,0.0,0.23,0.23,0.13,0.12,0.06,0.35,5.09,2.04,0.74,36.4,0.05,0.13,13.8,0.0,0.11,-0.14,19.04,19.2,0.09,0.0,0.0,0.93,0.09,11.9,61.7,161.1,47.6,7.78,10.9,71.2,3.24,5.09,63.6,0.46,1.11,41.7,0.65,1.2,0.83,0.19,1.67,0.0,2.4,0.0,0.0,0.0,0.0,1.94,1.39,0.0,0.09,0.19,0.28,0.0,0.46,0.28,0.0,0.09,0.0,0.09,0.0,1.02,0.74,0.28,0.46,0.28,1.11,25.0,0.83,0.09,0.74,0.28,0.83,0.0,31.4,4.17,12.6,15.3,3.89,3.61,28.2,35.9,19.1,129.7,2.13,61.3,1.2,0.65,2.69,1.67,23.4,5.09,1.11,2.22,0.65,0.0,0.0,0.0,3.15,2.96,2.13,58.2,Pressing Forward
2023-2024,Cheick Konaté,DF,Clermont Foot,fr Ligue 1,ml MLI,19,19,12,"1,068",11.9,0.08,0.08,0.17,0.08,0.17,0.0,0.0,0.34,0.0,0.0,0.04,0.04,0.13,0.11,-0.05,0.18,7.23,1.18,0.34,28.6,0.07,0.25,20.3,0.0,0.04,0.04,40.7,35.2,5.46,0.42,0.0,1.76,0.0,26.8,65.9,438.2,149.5,13.6,17.6,77.1,10.5,14.7,71.4,2.02,5.88,34.3,1.34,2.27,1.09,0.5,3.11,0.5,3.61,0.0,0.0,0.0,0.0,2.44,2.1,0.0,0.25,0.08,0.0,0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.0,2.18,1.26,1.43,0.76,0.0,3.03,55.6,1.34,0.17,1.18,1.09,1.76,0.0,53.0,10.8,26.1,17.0,1.68,3.61,51.2,46.5,34.6,209.0,1.85,93.5,1.6,0.67,1.6,1.09,31.5,7.23,1.43,1.18,0.0,0.0,0.08,0.0,4.62,0.59,1.01,36.8,
2022-2023,N'Golo Kanté,MF,Chelsea,eng Premier League,fr FRA,31,7,6,518,5.8,0.0,0.17,0.17,0.0,0.17,0.0,0.0,0.17,0.0,0.0,0.05,0.05,0.33,0.14,-0.16,0.38,6.21,1.38,0.17,12.5,0.0,0.0,20.9,0.0,0.04,-0.05,58.3,57.9,0.0,0.0,0.34,2.07,0.34,46.7,80.2,678.4,178.1,29.0,32.8,88.4,14.5,17.2,84.0,2.07,4.14,50.0,2.24,3.97,1.9,0.52,5.86,0.17,1.9,0.0,0.0,0.0,0.0,4.14,3.79,0.0,0.17,0.17,0.0,0.0,0.34,0.34,0.0,0.0,0.0,0.0,0.0,2.76,1.72,0.69,1.72,0.34,1.38,50.0,1.9,0.0,1.9,1.03,0.34,0.0,69.7,9.14,33.6,28.1,2.76,3.1,66.7,22.2,39.7,242.8,3.28,137.9,2.59,0.34,2.24,0.86,48.1,6.21,0.86,0.34,0.17,0.0,0.0,0.0,9.48,0.34,0.69,33.3,Ball Winning Midfielder
2023-2024,Mert Kömür,"MF,DF",Augsburg,de Bundesliga,de GER,18,4,1,118,1.3,0.77,0.0,0.77,0.77,0.76,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.08,0.0,0.15,6.92,1.54,0.77,50.0,0.5,1.0,16.0,0.0,0.1,0.62,26.2,25.4,0.77,0.0,0.77,0.77,0.0,23.1,88.2,355.4,101.5,13.1,14.6,89.5,6.92,6.92,100.0,1.54,1.54,100.0,0.77,0.77,1.54,0.0,3.08,0.0,0.77,0.0,0.0,0.0,0.0,3.85,1.54,0.77,0.0,0.0,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31,2.31,2.31,0.0,0.0,3.85,60.0,0.0,0.0,0.0,0.0,0.77,0.0,39.2,7.69,13.1,20.8,2.31,3.08,0.0,75.0,22.3,160.0,5.38,103.8,3.85,0.77,1.54,1.54,25.4,6.92,1.54,1.54,0.0,0.0,0.0,0.0,2.31,0.0,0.77,0.0,Central Midfielder
2022-2023,Wilfried Kanga,FW,Hertha BSC,de Bundesliga,ci CIV,24,23,15,"1,417",15.7,0.13,0.0,0.13,0.13,0.13,0.0,0.0,0.19,0.0,0.0,0.21,0.21,0.1,0.08,-0.1,0.31,4.59,1.59,0.57,36.0,0.08,0.22,11.7,0.0,0.13,-0.08,16.0,15.2,0.7,0.0,0.06,0.32,0.06,9.81,61.4,122.0,17.6,5.8,8.6,67.4,2.61,4.78,54.7,0.32,0.51,62.5,1.27,0.51,0.32,0.13,0.76,0.0,0.51,0.0,0.0,0.0,0.0,2.17,1.78,0.0,0.19,0.06,0.13,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.32,0.25,0.13,0.06,0.13,0.25,50.0,0.89,0.19,0.7,0.13,0.83,0.0,25.5,1.85,10.2,13.7,4.39,1.53,33.3,58.3,11.7,49.9,0.7,18.3,0.32,0.32,2.42,1.15,18.7,4.59,1.15,0.76,0.7,0.0,0.0,0.0,1.59,3.38,3.89,46.5,Pressing Forward
2023-2024,Randal Kolo Muani,FW,Eint Frankfurt,de Bundesliga,fr FRA,24,2,2,153,1.7,0.59,0.0,0.59,0.59,0.59,0.0,0.0,0.0,0.0,0.0,0.76,0.76,0.0,0.0,0.0,0.76,5.29,2.94,0.59,20.0,0.2,1.0,8.0,0.0,0.26,-0.18,15.3,14.7,0.59,0.0,0.0,0.59,0.0,10.0,65.4,133.5,39.4,6.47,8.82,73.3,1.76,2.35,75.0,1.18,2.35,50.0,0.0,1.18,0.59,0.0,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,32.9,0.59,17.6,15.9,5.88,8.82,26.7,66.7,24.7,197.6,3.53,105.9,2.35,1.18,1.76,4.71,27.1,5.29,2.35,2.94,0.0,0.0,0.0,0.0,1.76,2.35,2.94,44.4,Advanced Forward
2022-2023,Lee Kang-in,"MF,FW",Mallorca,es La Liga,kr KOR,21,36,33,"2,823",31.4,0.19,0.19,0.38,0.19,0.38,0.0,0.0,0.32,0.0,0.0,0.17,0.17,0.17,0.16,0.02,0.34,4.43,1.46,0.45,30.4,0.13,0.43,20.0,0.22,0.12,0.02,35.1,28.1,6.59,2.58,0.22,1.11,0.41,24.6,70.0,413.9,133.9,12.7,14.8,86.0,7.93,10.1,78.5,2.83,7.23,39.2,1.72,2.39,0.96,0.35,3.06,0.48,6.4,2.87,1.15,1.37,0.0,3.6,1.56,1.18,0.38,0.19,0.22,0.06,0.41,0.16,0.16,0.06,0.03,0.0,0.0,1.34,0.76,0.32,0.7,0.32,1.94,29.5,0.8,0.06,0.73,0.35,0.22,0.0,45.4,5.38,22.1,19.0,1.34,4.27,67.2,25.4,26.5,180.1,3.41,93.5,1.85,0.45,2.2,1.37,28.6,4.43,1.62,1.94,0.06,0.0,0.0,0.0,4.65,0.73,1.82,28.8,
2023-2024,Randal Kolo Muani,"FW,MF",Paris S-G,fr Ligue 1,fr FRA,24,26,13,"1,268",14.1,0.43,0.35,0.78,0.43,0.78,0.0,0.0,0.07,0.0,0.0,0.43,0.43,0.23,0.11,0.12,0.67,8.87,1.56,0.85,54.5,0.27,0.5,11.0,0.0,0.28,-0.01,25.5,25.1,0.28,0.0,0.07,1.21,0.07,18.4,72.1,265.9,69.5,11.1,14.5,77.0,5.46,7.16,76.2,0.85,1.49,57.1,1.84,1.63,0.99,0.21,2.98,0.0,0.64,0.0,0.0,0.0,0.0,3.55,2.77,0.0,0.21,0.21,0.35,0.0,0.57,0.5,0.0,0.07,0.0,0.0,0.0,0.71,0.57,0.35,0.21,0.14,0.92,38.5,0.35,0.0,0.35,0.28,0.71,0.0,38.7,3.97,14.5,20.8,5.18,5.11,38.9,55.6,30.6,192.2,2.55,78.4,1.28,1.13,3.69,1.49,29.9,8.87,2.41,1.84,0.43,0.14,0.0,0.0,3.05,1.06,0.99,51.7,Advanced Forward
2022-2023,Harry Kane,FW,Tottenham,eng Premier League,eng ENG,29,38,38,"3,405",37.8,0.79,0.08,0.87,0.66,0.74,0.13,0.16,0.16,0.0,0.0,0.57,0.44,0.19,0.11,-0.11,0.63,5.11,3.28,1.43,43.5,0.2,0.46,16.0,0.11,0.13,0.22,24.4,22.6,1.59,0.37,0.53,1.03,0.21,17.0,69.7,325.3,114.9,7.57,9.74,77.7,6.24,7.99,78.1,2.72,4.34,62.8,1.51,2.65,1.24,0.16,4.76,0.48,0.98,0.0,0.0,0.0,0.0,3.47,2.35,0.05,0.34,0.32,0.32,0.08,0.48,0.26,0.0,0.05,0.08,0.08,0.0,0.4,0.32,0.03,0.16,0.21,0.56,33.3,0.71,0.19,0.53,0.05,0.48,0.0,35.1,2.8,17.1,15.8,4.42,2.86,37.0,49.1,22.1,120.3,1.59,48.7,1.32,0.56,1.96,1.53,27.3,5.11,0.82,1.48,0.42,0.05,0.0,0.0,2.54,1.75,2.14,44.9,Deep Lying Forward
